No	Tree1	Tree2	Tree1_taxa	Tree2_taxa	Common_taxa	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg	R-F	R-F_toYuleAvg	R-F_toUnifAvg	Triples	Triples_toYuleAvg	Triples_toUnifAvg
54	107	108	9	9	9	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
55	109	110	26	26	26	23.0000	0.1780	0.1470	9.0000	0.3950	0.3939	40.0000	0.0230	0.0230
56	111	112	8	8	8	3.0000	0.1831	0.1763	1.0000	0.2162	0.2123	2.0000	0.0541	0.0529
57	113	114	27	27	27	11.0000	0.0806	0.0669	5.0000	0.2103	0.2098	14.0000	0.0072	0.0072
58	115	116	8	8	8	5.0000	0.3052	0.2938	4.0000	0.8647	0.8491	14.0000	0.3784	0.3703
59	117	118	12	12	12	21.0000	0.5915	0.5554	8.0000	0.9140	0.9125	90.0000	0.6114	0.6134
60	119	120	26	26	26	13.0000	0.1006	0.0831	5.0000	0.2195	0.2188	18.0000	0.0104	0.0104
61	121	122	3	3	3	0.0000	N/A	N/A	0.0000	N/A	N/A	0.0000	N/A	N/A
62	123	124	31	31	31	46.0000	0.2710	0.2188	17.0000	0.6121	0.6103	437.0000	0.1457	0.1460
63	125	126	6	6	6	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
64	127	128	8	8	8	5.0000	0.3052	0.2938	2.0000	0.4323	0.4245	18.0000	0.4865	0.4761
65	129	130	3	3	3	0.0000	N/A	N/A	0.0000	N/A	N/A	0.0000	N/A	N/A
66	131	132	22	22	22	115.0000	1.1637	0.9930	18.0000	0.9591	0.9561	783.0000	0.7631	0.7608
67	133	134	9	9	9	12.0000	0.5839	0.5623	4.0000	0.7002	0.6986	13.0000	0.2325	0.2338
68	135	136	13	13	13	6.0000	0.1469	0.1360	3.0000	0.3089	0.3061	5.0000	0.0262	0.0262
69	137	138	12	12	12	3.0000	0.0845	0.0793	2.0000	0.2285	0.2281	3.0000	0.0204	0.0204
70	139	140	15	15	15	8.0000	0.1546	0.1392	3.0000	0.2561	0.2539	5.0000	0.0166	0.0165
71	141	142	16	16	16	7.0000	0.1198	0.1084	4.0000	0.3150	0.3126	8.0000	0.0214	0.0215
72	143	144	17	17	17	6.0000	0.0928	0.0825	3.0000	0.2181	0.2171	5.0000	0.0110	0.0110
73	145	146	26	26	26	7.0000	0.0542	0.0448	4.0000	0.1756	0.1751	5.0000	0.0029	0.0029
74	147	148	22	22	22	17.0000	0.1720	0.1468	10.0000	0.5329	0.5312	54.0000	0.0526	0.0525
75	149	150	16	16	16	12.0000	0.2053	0.1859	6.0000	0.4725	0.4689	92.0000	0.2466	0.2472
76	151	152	3	3	3	0.0000	N/A	N/A	0.0000	N/A	N/A	0.0000	N/A	N/A
